Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
711,2019-01-01 09:15:42,2229824890647120,fraud_Durgan-Auer,misc_net,3.47,Walter,Blair,M,44951 Williams Brooks,Pearlington,MS,39572,30.2508,-89.6011,1414,"Therapist, occupational",1958-02-17,286ebfcf94d7a7d8d84fa75e846bbe44,1325409342,31.065178999999997,-90.349458,0
1546,2019-01-01 16:42:39,2229824890647120,fraud_Rolfson-Kunde,personal_care,51.99,Walter,Blair,M,44951 Williams Brooks,Pearlington,MS,39572,30.2508,-89.6011,1414,"Therapist, occupational",1958-02-17,c2a0d33e692b81a95b63ffec3454705e,1325436159,29.572057,-90.344172,0
4294,2019-01-03 16:26:54,2229824890647120,fraud_Johns Inc,entertainment,88.86,Walter,Blair,M,44951 Williams Brooks,Pearlington,MS,39572,30.2508,-89.6011,1414,"Therapist, occupational",1958-02-17,bcea7056b78d48bc2e8b43effe3a404a,1325608014,30.550562,-88.753419,0
5354,2019-01-04 12:26:38,2229824890647120,"fraud_Schoen, Nienow and Bauch",personal_care,28.76,Walter,Blair,M,44951 Williams Brooks,Pearlington,MS,39572,30.2508,-89.6011,1414,"Therapist, occupational",1958-02-17,3976f81cce5e34f2f6583a5853e2f600,1325679998,29.94367,-89.01995,0
9777,2019-01-07 01:11:31,2229824890647120,"fraud_Raynor, Feest and Miller",gas_transport,59.22,Walter,Blair,M,44951 Williams Brooks,Pearlington,MS,39572,30.2508,-89.6011,1414,"Therapist, occupational",1958-02-17,949d2b1dbefc4a484c01a6b214ae0c92,1325898691,29.469890000000003,-90.586661,0
11636,2019-01-07 19:59:57,2229824890647120,fraud_Fadel-Hilpert,health_fitness,37.1,Walter,Blair,M,44951 Williams Brooks,Pearlington,MS,39572,30.2508,-89.6011,1414,"Therapist, occupational",1958-02-17,c97fa6639c4ea232633793910861bfb6,1325966397,29.643575,-90.039638,0
13711,2019-01-08 18:08:04,2229824890647120,fraud_Leffler-Goldner,personal_care,8.13,Walter,Blair,M,44951 Williams Brooks,Pearlington,MS,39572,30.2508,-89.6011,1414,"Therapist, occupational",1958-02-17,f4b007f45a17e4b1db7d63172355c7db,1326046084,31.109651,-90.291623,0
22448,2019-01-14 09:17:16,2229824890647120,fraud_Schmitt Inc,gas_transport,56.45,Walter,Blair,M,44951 Williams Brooks,Pearlington,MS,39572,30.2508,-89.6011,1414,"Therapist, occupational",1958-02-17,9497c5596518b5183705b412d6ba3723,1326532636,30.57224,-89.265969,0
22904,2019-01-14 14:20:07,2229824890647120,fraud_Baumbach Ltd,personal_care,40.15,Walter,Blair,M,44951 Williams Brooks,Pearlington,MS,39572,30.2508,-89.6011,1414,"Therapist, occupational",1958-02-17,d831fdd4e8c93003d834026d12a63399,1326550807,30.901689,-88.79884,0
27429,2019-01-16 19:26:02,2229824890647120,"fraud_Conroy, Balistreri and Gorczany",health_fitness,87.99,Walter,Blair,M,44951 Williams Brooks,Pearlington,MS,39572,30.2508,-89.6011,1414,"Therapist, occupational",1958-02-17,83f06a2fd1b1cbdb998e2d40b11dd562,1326741962,30.911789,-89.04446300000001,0
29146,2019-01-18 04:53:37,2229824890647120,fraud_Ruecker Group,misc_net,9.14,Walter,Blair,M,44951 Williams Brooks,Pearlington,MS,39572,30.2508,-89.6011,1414,"Therapist, occupational",1958-02-17,1b09360194608b3cbddca956ba43e5fa,1326862417,30.689277,-90.464244,0
30810,2019-01-19 11:35:30,2229824890647120,fraud_Brekke and Sons,gas_transport,67.21,Walter,Blair,M,44951 Williams Brooks,Pearlington,MS,39572,30.2508,-89.6011,1414,"Therapist, occupational",1958-02-17,e5f8fabfe2c5476007f820243bc13dca,1326972930,30.751917,-89.215463,0
33019,2019-01-20 17:19:23,2229824890647120,fraud_Champlin-Casper,home,12.87,Walter,Blair,M,44951 Williams Brooks,Pearlington,MS,39572,30.2508,-89.6011,1414,"Therapist, occupational",1958-02-17,f7cb9d10aec781207362a80c2e3601c5,1327079963,30.019691,-88.856059,0
33204,2019-01-20 19:32:16,2229824890647120,fraud_Kassulke Inc,entertainment,12.29,Walter,Blair,M,44951 Williams Brooks,Pearlington,MS,39572,30.2508,-89.6011,1414,"Therapist, occupational",1958-02-17,cb044bd7911c557f6bcbd04624b498fd,1327087936,30.507828000000003,-89.115282,0
43494,2019-01-27 00:47:28,2229824890647120,"fraud_Huel, Hammes and Witting",grocery_pos,166.96,Walter,Blair,M,44951 Williams Brooks,Pearlington,MS,39572,30.2508,-89.6011,1414,"Therapist, occupational",1958-02-17,9c32fd1b0d706818e34439eac2bf0d2b,1327625248,31.070566999999997,-89.854708,0
44526,2019-01-27 15:09:41,2229824890647120,"fraud_Hauck, Dietrich and Funk",kids_pets,74.63,Walter,Blair,M,44951 Williams Brooks,Pearlington,MS,39572,30.2508,-89.6011,1414,"Therapist, occupational",1958-02-17,7bbe31e32d3366660e4d71a78cdeab08,1327676981,29.585703999999996,-88.645581,0
45697,2019-01-28 02:51:40,2229824890647120,"fraud_Robel, Cummerata and Prosacco",gas_transport,52.4,Walter,Blair,M,44951 Williams Brooks,Pearlington,MS,39572,30.2508,-89.6011,1414,"Therapist, occupational",1958-02-17,2f40cf421a86e46cc89e3d08ce2d8370,1327719100,31.003971999999997,-90.56089,0
47051,2019-01-28 17:26:48,2229824890647120,fraud_Feil-Morar,health_fitness,7.11,Walter,Blair,M,44951 Williams Brooks,Pearlington,MS,39572,30.2508,-89.6011,1414,"Therapist, occupational",1958-02-17,53a01e204823f545473d26802463cc52,1327771608,29.3612,-88.74109200000001,0
50039,2019-01-29 23:02:01,2229824890647120,fraud_Johns-Hoeger,entertainment,3.4,Walter,Blair,M,44951 Williams Brooks,Pearlington,MS,39572,30.2508,-89.6011,1414,"Therapist, occupational",1958-02-17,eed97f751b640633facf45978c5876d3,1327878121,30.067528000000003,-89.880072,0
50280,2019-01-30 02:25:46,2229824890647120,fraud_Rempel Inc,shopping_net,9.92,Walter,Blair,M,44951 Williams Brooks,Pearlington,MS,39572,30.2508,-89.6011,1414,"Therapist, occupational",1958-02-17,7ca07485058357006d2e2bb1479dfaa1,1327890346,29.539734999999997,-88.783141,0
53197,2019-02-01 13:07:24,2229824890647120,"fraud_Runte, Green and Emard",health_fitness,9.88,Walter,Blair,M,44951 Williams Brooks,Pearlington,MS,39572,30.2508,-89.6011,1414,"Therapist, occupational",1958-02-17,3e16ceec8055477e048dbd194b73d980,1328101644,30.657297999999997,-90.476895,0
55126,2019-02-02 19:34:57,2229824890647120,fraud_Jacobi Inc,health_fitness,51.79,Walter,Blair,M,44951 Williams Brooks,Pearlington,MS,39572,30.2508,-89.6011,1414,"Therapist, occupational",1958-02-17,f1479e3ae71bc8950acc5051ec91fc76,1328211297,29.511428999999996,-90.504365,0
55386,2019-02-02 22:53:57,2229824890647120,fraud_Dickinson Ltd,personal_care,19.79,Walter,Blair,M,44951 Williams Brooks,Pearlington,MS,39572,30.2508,-89.6011,1414,"Therapist, occupational",1958-02-17,d74cb105ea3b6b8ba62419da68a509eb,1328223237,29.50292,-88.853844,0
57056,2019-02-03 19:38:51,2229824890647120,fraud_Zulauf LLC,personal_care,130.97,Walter,Blair,M,44951 Williams Brooks,Pearlington,MS,39572,30.2508,-89.6011,1414,"Therapist, occupational",1958-02-17,d0d283cb476d899926a2761f120df179,1328297931,29.574536,-88.99079499999999,0
57569,2019-02-04 00:46:57,2229824890647120,fraud_Cummings LLC,gas_transport,42.9,Walter,Blair,M,44951 Williams Brooks,Pearlington,MS,39572,30.2508,-89.6011,1414,"Therapist, occupational",1958-02-17,9a15843b7fbe3b201adcd24dd96ec09c,1328316417,30.995696,-89.865443,0
58848,2019-02-04 15:29:55,2229824890647120,fraud_Nolan-Williamson,kids_pets,24.63,Walter,Blair,M,44951 Williams Brooks,Pearlington,MS,39572,30.2508,-89.6011,1414,"Therapist, occupational",1958-02-17,55722b7d97e84665bf69b6c6aedb28fb,1328369395,31.008214,-89.885453,0
59370,2019-02-04 19:52:43,2229824890647120,fraud_Rau-Robel,kids_pets,6.93,Walter,Blair,M,44951 Williams Brooks,Pearlington,MS,39572,30.2508,-89.6011,1414,"Therapist, occupational",1958-02-17,95cc28ce48fd95e501afaa6729413fba,1328385163,30.475438,-89.65929,0
